NO.,Article Title,Abstract,Publication Year
51,Real-Time Illegal Parking Detection in Outdoor Environments Using 1-D Transformation,"With decreasing costs of high-quality surveillance systems, human activity detection and tracking has become increasingly practical. Accordingly, automated systems have been designed for numerous detection tasks, but the task of detecting illegally parked vehicles has been left largely to the human operators of surveillance systems. We propose a methodology for detecting this event in real time by applying a novel image projection that reduces the dimensionality of the data and, thus, reduces the computational complexity of the segmentation and tracking processes. After event detection, we invert the transformation to recover the original appearance of the vehicle and to allow for further processing that may require 2-D data. We evaluate the performance of our algorithm using the i-LIDS vehicle detection challenge datasets as well as videos we have taken ourselves. These videos test the algorithm in a variety of outdoor conditions, including nighttime video and instances of sudden changes in weather.",05-Jun
52,Real-Time Illegal Parking Detection System Based on Deep Learning,"The increasing illegal parking has become more and more serious. Nowadays the methods of detecting illegally parked vehicles are based on background segmentation. However, this method is weakly robust and sensitive to environment. Benefitting from deep learning, this paper proposes a novel illegal vehicle parking detection system. Illegal vehicles captured by camera are firstly located and classified by the famous Single Shot MultiBox Detector (SSD) algorithm. To improve the performance, we propose to optimize SSD by adjusting the aspect ratio of default box to accommodate with our dataset better. After that, a tracking and analysis of movement is adopted to judge the illegal vehicles in the region of interest (ROI). Experiments show that the system can achieve a 99% accuracy and real-time (25FPS) detection with strong robustness in complex environments.",05-Jul
53,Illegal Parking Detection Algorithm Based on Video Surveillance,"Aiming at the shortcomings of traditional illegal parking detection methods such as low accuracy rate and high costs,this paper proposes a detection algorithm based on video surveillance.The moving objects are detected in video by using a codebook background modeling algorithm.The interference of other objects is filtered by computing the area of the connected region.Vehicles are classified according to the parking time.If illegal parked vehicles are found,the system will alarm.Experimental results demonstrate that the algorithm obtains high accuracy and achieves real-time performance.",
54,Illegal Parking Detection Using Gaussian Mixture Model and Kalman Filter,"Automatic analysis of videos for traffic monitoring has been an area of significant research in the recent past. In this paper, we proposed a system to detect and track illegal vehicle parking using Gaussian Mixture Model and Kalman Filter. i-LIDS dataset is used to test and evaluate the algorithm by comparing the results with the ground truth provided, we have tested the system using 4 full videos from i-LIDS to detect parked vehicle whiten specific area. Region of interest has been used to detect Vehicle parks in a no parking zone over sixty seconds and remains stationary. Within the scope of this work, we highlighted the components of an automated traffic surveillance system, including background modeling, foreground extraction, Kalman filter and Gaussian mixture model.",05-Jul
55,A Deep Learning based Illegal Parking Detection Platform,"Illegal parking is a critical problem in large, growing cities. Currently, the responsibility for detecting illegally parked vehicles has been left to law enforcement, which often requires manual inspection. To improve the efficiency of law enforcement for vehicle parking management, we propose a web-based analytic platform that leverages recent advancements in computer vision. This proposed platform provides an algorithm to improve the performance of detecting vehicle license plates from videos, based on an existing deep learning approach. Also, we provide a method to estimate vehicle parking locations. This platform is applicable for videos of security patrolling. End-users can define restricted zones via a map-based interface and all vehicles located in these areas can be efficiently identified once patrolling videos are received. This system is evaluated by two videos captured in real-world parking lots. The results indicate that the proposed platform can successfully identify vehicle plate numbers and estimate their parking locations to support the management of urban parking infrastructure.",05-Jul
56,Detection and recognition algorithm of illegal parking,"To overcome the shortcoming of the manual detection of illegal parking cars,a surveillance algorithm was developed to detect the illegal parking cars based on the image processing technology. A visual sensor was set at the forbidden parking region of the road to record the video sequence. An adaptive mixed Gaussian model was used to extract the background in the complicated environment. The still objects were detected by the temporal sequence feature of the pixel level. The still vehicles were recognized by the regional feature of the object level to get the illegal car parking information. The auto-alarm was realized according to the requirements from the regulation of different forbidden parking regions. The suggested algorithm was validated by the video sequence of the real traffic scenes to be effective.",
57,Smart Detection of Vehicle in Illegal Parking Area by Fusing of Multi-features,"Due to aisle, emergency lanes and other functional areas with rare events and lack of monitoring, an algorithm for smart detection of vehicle in illegal parking area was proposed. Firstly, region of interesting was selected. Secondly, Gaussian Mixture Model was used for background construction, and moving objects were detected by background subtraction. Thirdly, morphological processing was used for detection of relatively complete target, then fusing of ellipse fitting, compacted features detection and tire circularity detection for vehicle recognition. Experiments show that this algorithm could realize monitoring exactly and keep illegal parking area smooth.",2015
58,Multi-Vehicle Tracking Based Traffic Illegal Parking Detection,"Vehicle detection and tracking are the foundations of traffic violation punishment. The current methods have more parameters to be adjusted and can not adapt to the complex traffic scenes. For the purpose of practice application, we propose an illegal parking detection algorithm based on vehicle tracking theory. In order to filter the dynamic interferences such as vehicles parking for a long time, moving vehicles overlapping, and the vehicle losing momentarily from the video, a Gaussian mixture model is combined with the correlations among adjacent pixels to update background and eliminate noises. In allusion to complex traffic scenes, a fast multi-object tracking algorithm is presented to track occluded vehicles effectively. This method predicts vehicle trajectory by Kalman filter and achieves real-time object tracking state judgment by using the feature matching matrix. The experimental results show that this method can track multiple moving vehicles effectively and has high detection precision for illegal parking incidents.",05-Jul
59,Illegal parking detection using object interaction model,"With the development of safe city and surveillance cameras,automatic detection of illegal parking events is of great significance in the video automatic detection methods. Lots of target detection algorithms exist including feature + classifier method,video background subtraction method,and the deep-learning method. These methods are mostly concerned about the position and confirmation of license plates and traffic signs. According to this,a method based on object interaction model to detect illegally parking event is proposed in this paper: Firstly license plate is detected based on contour extraction and SVM; secondly the traffic sign is detected based on the shape and color; the last part judges whether illegal parking exists based on object interaction model.The above-mentioned method is regarded as a validity and reliability method by being tested in the real video scene.",
60,The Study of Highway Illegal Parking Real-time Detection Algorithm Based on Video,"Illegal parking of vehicles is an important incentive for highway incidents.Expedient and reliable illegal vehicles detection is a top priority of expressway traffic management and control.This paper presents a real-time highway vehicle parking detection algorithm based on video.First of all,the video-based detection system consists of illegal parking and the advantages of video detection are analyzed;then background subtraction algorithm and OSTU threshold method are combined to judge whether the vehicles is parking illegally.Experimental results show that the method has good results.",05-Jul
61,A vehicle detection and tracking algorithm for supervision of illegal parking,"This paper presents a robust vehicle detection and tracking algorithm for supervision of illegal parking. The proposed algorithm is composed of four parts. First, a vehicle detection algorithm is proposed using the improved codebook object detection algorithm to segment moving vehicles from the input sequence. Second, a preprocessing technique using the geometric characteristics of vehicles is employed to exclude non-vehicle objects. Then, the detected vehicles are tracked by an object tracker which incorporates histogram tracking method with Kalman filter. To make the tracking results more accurate, histogram tracking results are used as measurement data for Kalman filter. Finally, Real Stop Counter (RSC) is introduced for trustworthy and accurate performance of the stopped vehicle detection. Experimental results show that the proposed algorithm can track multiple vehicles simultaneously and detect stopped vehicles successfully in the complicated street environment.",2009
62,Illegal parking road recognition based on video detection equipment,"Based on the big data collected by the video detection equipment, the network topology table of the city level video detection equipment is constructed by using the time relation and the spatial position relation of the data. By using the steepest descent method and adaptive method, the travel confidence time randomness model is constructed, which can describe whether a traveler can finish his travel time on time. It overcomes the shortcomings of the existing travel time reliability calculation model, which is difficult to combine with the actual use of video detection equipment data, then examples analysis are followed. The results show that, for the data collected by the video detection device, the travel confidence time randomness model is more accurate than the existing models. It can describe the probability of the traveler arriving at the destination in a given time more accurately, which can be used to identify illegal parking road and provide a reliable basis for traffic management departments in traffic planning, dividing road network status and traffic situation prediction.",2018
63,Novel Discriminative Method for Illegal Parking and Abandoned Objects,"Computer vision techniques have been widely applied in Intelligent Transportation Systems (ITSs) to automatically detect abnormal events and trigger alarms. In the last few years, many abnormal traffic events, such as illegal parking, abandoned objects, speeding, and overloading, have occurred on the highway, threatening traffic safety. In order to distinguish illegal parking and abandoned object events, we propose an effective method to classify these types of abnormal objects. First, abnormal areas are detected by feature point extraction and matching. The transformation relation, between the world and image coordinate systems, is then established by camera calibration. Next, different-height inverse projection planes (IPPs) are built to obtain the inverse projection maps (IPMs). Finally, the 3D information describing the abnormal objects is estimated and used to distinguish illegally parked vehicles and abandoned objects. Experimental results from traffic image sequences show that this method is effective in distinguishing illegal parking and abandoned objects, while its low computational cost satisfies the real-time requirements; furthermore, it can be used in vehicle classification.",2018
64,AN INTEGRATED TRAFFIC MICROSIMULATION MODEL OF ILLEGAL ON-STREET PARKING IN DOWNTOWN TORONTO,"On-street parking involves the blockage of the lane on which a vehicle parks, thus reducing its capacity. As 3 a result, large cities such as the city of Toronto restrict on-street parking on main routes during traffic peak 4 periods. As with any parking restriction, the compliance rate to this policy is not a 100%. This study aims to 5 use Traffic Microsimulation to quantify the impact of illegal on-street parking during the AM peak period 6 on the level of congestion in the city of Toronto. The study uses traffic demands and parking citation data 7 from the year 2011 to simulate existing traffic conditions and reflect the existing level of incompliance to 8 the on-street parking policy. Quadstone Paramics is used to incorporate the illegal parking activity into the 9 Toronto Waterfront Network simulation model. Link delay, travel time, speed and link flow along links 10 affected by illegal parking are the measures of effectiveness that reflect the implications of illegal parking in 11 the study. The base case where no illegal parking is simulated is compared with simulations incorporating 12 illegal parking to derive the difference in travel times resulting from illegal parking. It is observed thst on 13 average link delay increases by 50% and link flow reduces by 7% upon introducing illegal on-street parking 14 onto a link",2017
65,Deep Learning-Based Parking Detection System Using Structural Similarity,"High latency of existing vision-based parking detection systems causes significant delay in parking information delivery. The lack of access to real-time outdoor parking information induces the difficulty of finding parking and identifying parking violations, especially in busy downtown areas. Given such backdrop, this research project put forward a deep learning-based parking detection system that accurately detects parking occupancy status and illegal parking on real time basis. A Convolutional Neural Network (CNN) classifier running on a single board computer is used to classify the occupancy status of parking spaces and identify the presence of illegally parked vehicles. A novel structural similarity (SSIM) decision scheme is introduced to minimize the latency of detecting parking occupancy changes. Multithreading technique is also employed to fully exploit the processing power of single board computer for accelerating illegal parking detection process. The detection results are stored at a cloud-hosted NoSQL database. Two smartphone applications namely Driver App and Enforcer App are developed to channel live parking information for assisting drivers in finding parking and supporting efficient parking enforcement respectively. The proposed parking detection mechanism is implemented and tested at the staff parking area (monitored with an IP camera) of Faculty of Engineering in Multimedia University. Experimental results demonstrated a high accuracy of over 99% in parking occupancy detection and 98.7% precision rate in locating illegal parking incidents with no missed detection under different weather conditions. The implementation of SSIM decision scheme in detecting a single instance of parking occupancy change, managed to accelerate the parking occupancy detection by up to six times faster when compared to a pure CNN classification approach. On the other hand, the incorporation of multithreading mechanism on single board computer increases the computation speed of illegal parking detection in three illegal parking regions by 2.3 times in comparison with sequential execution.",2019
66,A Robust Parking Detection Algorithm Against Electric Railway Magnetic Field Interference,"Wireless magnetic sensor networks (WMSNs) offer an effective and efficient low-cost alternative for real-time parking space monitoring. Current algorithms used for parking space detection based on the WMSNs have been well studied but not without eliminating the geomagnetic field interference. Electric railway systems, such as subways and light rail systems, produce magnetic field radiation that interferes with the geomagnetic field. The electric railway magnetic field interference has increased and is prominent in urban settings; therefore, it is imperative to filter out the interference in order to increase the detection accuracy. This paper proposes an algorithm for parking space detection, which can effectively eliminate the geomagnetic background interference. We solve the parking detection problem through signal filtering technology. Based on mathematical morphology, we designed two filters for extracting morphological structures from interfered magnetic signals. The experimental results verify that the proposed algorithm is more accurate than the existing algorithms.",2020
67,Detection of street-parking vehicles from panoramic street image,"It is important to assess street-parking vehicles causing traffic problems in urban areas, however, it is performed manually and at high cost. It is a top priority for reducing cost, to develop a detection system of those vehicles. We address a spatio-temporal volume and two types of slice surfaces from the volume, and introduce two-types of panoramic street-images, which possibly provide useful information for our daily life. We propose two alternative detection methods, using a laser-range finder and a line-scan camera. In the former detection method, EPI analysis is applied to line-scan images. As a result of verification experiments in real roads, a detection rate reached 76.9%. In the latter detection method, two kinds of cluster analysis are applied to range points: one is for clustering points at each scan, and the other for clustering points over several scans. Each cluster of range points means a vehicle. As a result of verification experiments in real roads, a detection rate reached 90%.",2013
68,Crowdsensing Maps of On-street Parking Spaces,"It has been estimated that traffic congestion costs the world economy hundreds of billions of dollars each year, increases pollution, and has a negative impact on the overall quality of life in metropolitan areas. A significant part of congestion in urban areas is due to vehicles searching for on-street parking. Detailed and accurate on-street parking maps can help drivers easily locate areas with large numbers of legal parking spaces and thus relieve congestion. In this paper, we address the problem of mapping street parking spaces using vehicles' preinstalled parking sensors. In particular, we focus on identifying legal parking spaces from crowdsourced data, whereas earlier work has largely assumed that such maps of legal spaces are given. We demonstrate that crowdsensing data from vehicle parking sensors can be used to classify on-street areas into legal/illegal parking spaces. Based on more than 2 million data points collected in Highland Park, NJ and downtown Brooklyn, NY areas, we show that on-street parking maps can be estimated with an accuracy of ~90% using proposed weighted occupancy rate thresholding algorithm.",2013
69,Attribute Grammar-Based Event Recognition and Anomaly Detection,We propose to use attribute grammars for recognizing normal events and detecting abnormal events in a video. Attribute grammars can describe constraints on features (attributes) in addition to the syntactic structure of the input. Events are recognized using an extension of the Earley parser that handles attributes and concurrent event threads. Abnormal events are detected when the input does not follow syntax of the grammar or the attributes do not satisfy the constraints in the attribute grammar to some degree. We demonstrate the effectiveness of our method for the task of recognizing normal events and detecting anomalies in a parking lot.,2006
70,Automatic traffic violation detection system and method of the same,"Disclosed herein are a system and method for the automatic detection of traffic and parking violations. Camera input is digitally analyzed for vehicle type and location. This information is then processed against local traffic and parking regulations to detect violations. Detectable driving offenses include, but are not limited to: no scooters, buses only, and scooters only lane violations. Detectable parking offenses include, but are not limited to: parking or loitering in bus stops, parking next to fire hydrants, and parking in no-parking zones. Camera input, detected vehicle information, and violations can be stored for later search and retrieval. The system may be configured to signal the authorities or other automated analysis systems about specific violations. When coupled with automatic license plate recognition, vehicles may be automatically matched against a registration database and reported or ticketed.",2012
71,Proceedings of the International Academic Conference on Frontiers in Social Sciences and Management Innovation,"Violation of parking is a legal term. Our country¡¯s law stipulates that there should be no-stop signs and markings, road sections with isolation facilities between motor vehicles and non-motor vehicle lanes and sidewalks, and crosswalks and construction sites. No parking; Railway crossings, sharp bends, narrow roads with widths less than 4 meters, bridges, steep slopes, tunnels, and sections within 50 meters of the above locations are not allowed to stop. In recent years, urban management is gradually developing towards information There are corresponding treatment mechanisms for illegal parking in urban management, but the method of detecting illegal parking based on machine vision is still under study. This paper takes a street in Hebei Province as the research object, and studies the illegal parking under the surveillance image. It also proposes to use the machine vision-based method to automatically detect the illegal parking. In the monitoring image, according to the street view image information detected by the computer, A status assessment of the vehicle placement can be achieved. The detection algorithm in this paper uses the multi-angle suggestion area to accurately locate the offending vehicles in the image and mark them on the detected vehicles. The experimental data shows that the algorithm has good adaptability to the detection of illegal parking in surveillance images, and effectively improves the inspection efficiency.",2019
72,"Illegal-parking-management portable terminal, illegal-parking management method and computer program product","An illegal-parking-management portable terminal includes a storage unit, an extracting unit, and a selecting unit. The storage unit stores therein facility information on a facility relevant to illegal parking and an illegal-parking application rule that defines illegal-parking condition for each penalty article. The extracting unit extracts, from the facility information, information on a facility within a predetermined range from a position specified as a vehicle parking position on a map displayed on a display unit. The selecting unit compares the extracted information with the illegal-parking application rule, and selects a penalty article to be applied to illegal parking of a vehicle.",2005
73,Automatic detection of long term parked cars,"The detection of illegal roadside parking is becoming more and more interesting in the field of intelligent transportation systems, since it may cause traffic congestion or accidents. In this paper we propose a method able to analyze videos acquired by traditional surveillance cameras and to automatically detect the vehicles stopped in a forbidden area. Two main contributions have been introduced: first, spatio temporal information related to the stopped vehicles are encoded by a heat map; second, the background is not updated by evaluating the movement of the vehicle in a single time instant, but instead the whole movement of the vehicles, encoded into the heat map, is taken into account. Two widely adopted datasets, namely the iLids and the PETS 2000, have been used to experimentally evaluate the proposed approach and the results achieved, compared with state of the art methodologies, confirm its effectiveness.",2015
74,Vehicle Tracking by Simultaneous Detection and Viewpoint Estimation,"We address the problem of vehicle detection and tracking for traffic monitoring in Smart City applications. We introduce a novel approach for vehicle tracking by simultaneous detection and viewpoint estimation. An Extended Kalman Filter (EKF) is adapted to describe the vehicle¡¯s motion when not only the pose of the object is measured, but also its viewpoint with respect to the camera. Specifically, we enhance the motion model with observations of the vehicle viewpoint jointly extracted by the detection step. The approach is evaluated on a novel and challenging dataset with different video sequences recorded at urban environments, which is released with the paper. Our experimental validation confirms that the integration of an EKF with both detections and viewpoint estimations results beneficial.",2013
75,Parking violation surveillance system,A parking control surveillance system is provided for monitoring vehicles within parking spaces for providing parking enforcement personnel information concerning authorized and unauthorized vehicles within the parking space. The parking control surveillance system includes a parking stop having dimensions substantially the same as traditional cement parking stops located at the rear of a parking space. The parking stop includes a video recorder for obtaining images of vehicles entering or exiting the designated parking space. The parking stop further includes a transmitter for transmitting images and information such as the time of parking transgression to vehicle enforcement personnel.,2006
76,Detection Method of Highway Illegal Parking Based on Gaussian Mixture Model,"In order to solve the problem of illegal parking on highway,a detection method based on video image processing technology was proposed. Gaussian mixture model was used to collect the video sequence to realize background modeling. The background difference method was used to obtain the target foreground object and the background update method was also used to reduce the influence of environmental factors on the background model. Through the proposed target centroid method,not only the moving vehicle detection in designated area can be realized but also the illegal parking targets can be identified and alerted. Finally,the results of the experiment which have been done on a certain highway to verify the video sequence of the highway traffic scenes show that the proposed algorithm has the merits of strong scene adaptability,good efficiency and high veracity.",2014
77,Real-Time Non-Motor Vehicle Violation Detection in Traffic Scenes,"The blockchain technology in the traffic scene is developing rapidly recently. In this area, distributed system based technology like blockchain has been standing out with its decentralization, data-innovation and data transparency. We propose a real-time non-motor vehicle violation detecting approach, which can detect and collect violation information of non-motor vehicle and has been integrated into the distributed smart traffic management system. We propose a luminance balancing in the pre-processing steps to address the problem of brightness change in the background. We use the refined codebook algorithm to detect the motion part, and then propose a violation judging criteria based on feature matching to obtain the violation information. Experiments and application have shown the effectiveness and efficiency of our approach.",2019
78,Vehicle Detection Even in Poor Visibility Conditions Using Infrared Thermal Images and Its Application to Road Traffic Flow Monitoring,"We propose an algorithm for detecting vehicle positions and their movements by using thermal images obtained through an infrared thermography camera. The proposed algorithm specifies the area of moving vehicles based on the variations of pixel values, i.e. the standard deviations of pixel values along the time direction of spatio-temporal images. It also specifies vehicle positions by applying the pattern recognition algorithm which uses Haar-like features per frame of the images. Moreover, to increase the accuracy of vehicle detection, correction procedures for misrecognition of vehicles are employed. The results of our experiments show that the information about both vehicle positions and their movements can be obtained by combining those two kinds of detection, and the vehicle detection accuracy is 96.3?%. As an application of the algorithm, we also propose a method for estimating traffic flow conditions based on the results obtained by the algorithm. By use of the method for estimating traffic flow conditions, automatic traffic flow monitoring can be achieved. In addition, there is a possibility that traffic accidents, vehicle troubles, and illegal parking can be detected with the proposed method. By using the traffic information obtained from the proposed method, we also expect to realize an optimized traffic signal control around the clock even in changeable weather.",2012
79,Algorithm of Generating Adaptive Background Modeling for crackdown on Illegal Parking,"The Object tracking by real-time image analysis is one of the major concerns in computer vision and its application fields. The Object detection process of real-time images must be preceded before the object tracking process. To achieve the stable object detection performance in the exterior environment, adaptive background model generation methods are needed. The adaptive background model can accept the nature's phenomena changes and adapt the system to the changes such as light or shadow movements that are caused by changes of meridian altitudes of the sun. In this paper, we propose a robust background model generation method effective in an illegal parking auto-detection application area. We also provide a evaluation method that judges whether a moving vehicle stops or not. As the first step, an initial background model is generated. Then the differences between the initial model and the input image frame is used to trace the movement of object. The moving vehicle can be easily recognized from the object tracking process. After that, the model is updated by the background information except the moving object. These steps are repeated. The experiment results show that our background model is effective and adaptable in the variable exterior environment. The results also show our model can detect objects moving slowly. This paper includes the performance evaluation results of the proposed method on the real roads.",2008
80,Illegally Parked Vehicles Detection Based on Omnidirectional Computer Vision,"At present, vision-based illegally parked vehicles detection faces a range of issues such as narrowness of detection range, low detection precision and robustness. This paper proposed a technique for illegally parked vehicles detection. Firstly, Omni-Directional Vision Sensors (ODVS) are used to access Omni-directional images of the scene. Secondly, a method based on two backgrounds modeled by Gaussian mixture model (GMM) with different learning rate is presented. Through simple arithmetic, it is capable to segment temporarily static vehicles in the scene. This method is computational efficient and robust because of the avoidance of a series of complex operations of merging, splitting, entering, leaving, occlusion, and correspondence which are met in traditional methodology depending on object-tracking. Thirdly, shadow suppression is used to overcome the impact of vehicles' own shadow on the detection precision. Experimental results show that the technique can effectively detect illegally parked vehicles with high precision and robustness.",2009
81,Recognizing the Illegal Parking Patterns of Cars on the Road in Front of the Bus Stop Using the Support Vector Machine,"Traffic jams are a major problem in the lives of people in the capital. The occurrence of such problems is due to drivers who do not respect traffic laws, inappropriate behavior of the driver, and the cause of illegal parking at prohibited parking, resulting in the rear car unable to move further. Possible or the car must change lanes to another lane. Therefore, to reduce such problems, we have developed an illegal parking pattern recognition system for cars on the road. We have applied the Support Vector Machine (SVM) to the signal from CCTV cameras and find important characteristics of illegal car parked at the bus stop. Then use those images to learn to recognize the parking behavior of cars with Linear Regression. From the experiment, it is found that the recognition of cars parked on the road in front of the bus stop has an accuracy rate of 82.22 percent which can be used to detect the soaking of personal cars in real life.",2019
82,Image processing based system for classification of vehicles for parking purposes,"This paper develops an image processing based approach for classification of vehicles with the objective of their parking. In the paper, the heights and lengths of the vehicles are first measured on applying image processing and feature extraction techniques. Then, based on the information of the heights and lengths of the vehicles, the vehicles' eligibility to park in a specific parking lot is determined under condition of certain constraints. The determination of the heights and lengths are carried out by comparing the maximum height for a set of vehicles. The system was implemented using MATLAB and the developed technique was tested for accuracy considering various classes of vehicles. For ease of implementation, the system incorporates a camera mounted on a flat surface with fixed pixel setting.",2015
83,Peccancy Parking Intelligent Monitoring System Based on Computer Vision,"Aiming at the problems of peccancy parking detection in a large range,uncertainty of time and location,vehicles with multiple size and species as well as automatic recognition of vehicle license plate,this paper designed a peccancy parking intelligent monitoring system based on the fusion of Omni-Directional Vision Sensors(ODVS) and PTZ camera.The ODVS is used to detect and track multiple targets of vehicle object in a large range to acquire the vehicle information such as location,size and trajectory.Once a tracked vehicle is stopped but not in the parking spaces for a period of time,the PTZ camera will be controlled to capture the vehicle image which will be used to recognize the vehicle license plate.The experimental results show that image used for vehicle license plate recognition can be captured under unlimited conditions by this device,and the demands of the Real-time Multi-objective detection and tracking can also be met.The system will not only provide warning information to drivers who might be peccancy parking,but also gives digital urban management and law enforcement departments a pair of intelligent eye.",2006
84,Intelligent drone-based surveillance: application to parking lot monitoring and detection,"Unmanned aerial vehicles (UAVs) or drones are rapidly gaining popularity in the field of remote sensing for capturing images with ultra-high spatial resolution while flying at lower altitudes. Development of highlyefficient miniaturized sensors and the use of geospatial image processing techniques have been immensely helpful in growing this technology as the most sought-after and sophisticated remote sensing technique at a relatively lower cost. Parking lot occupancy detection, one of the current drone based application area, can be used for effective management of parking spaces, to reduce queues, minimize the time required to find an area, and to issue tickets in cases of parking violations. Visual information based parking lot monitoring techniques are mostly tailored for specific applications, and they lack generalization. In this paper, a UAV-assisted quick and efficient monitoring solution is proposed for real-time parking occupancy and car number plate detection. In this approach, a drone-mounted camera has been used to capture images of the parking lot under consideration. Initially, the parking lot is being mapped using drone-coordinates, and then a dynamic programming algorithm is used to determine the shortest route to cover multiple parking lots in minimum time to capture maximum number pictures solved by the Traveling Salesman Problem (TSP). For capturing images, an optimum location is used, such that the drone can cover the maximum area of a parking space in minimum time. Depending on the parking area under investigation, paths altitudes and gimbal angles of the drone is changed dynamically while capturing images. Then a deep neural network based parking lot occupancy monitoring system is used to determine the number of occupied and vacant spots in a parking lot. The drone captured images of each parking spot are then tested with a pre-trained model based on car and non-car images. Then the automatic license plate recognition (ALPR) algorithm is used for parking rule enforcement. Finally, experimental results are verified using a web based application that is connected with a cloud database.",2019
85,iParking ? a real-time parking space monitoring and guiding system,"Shortage and imbalance of parking spaces have become serious problems in recent years. Drivers may choose nearby illegal area for parking when available parking spaces are all out of sight. To mitigate problems such as illegal parking, iParking, a real-time parking space monitoring and guiding system, is proposed in this paper. The paper lays emphasis on?roadside?parking. In the proposed system, the availability of parking spaces is recognized through image analysis, where the images come from the event recorders embedded in cars on the roads. Upon receipt of a parking request, the system searches for a nearest parking space, and then directly navigates the requesting driver to the available parking space. The system is expected to benefit all drivers and the government, and to improve safety and traffic on the roads",2017
86,Social Media Application for Illegal Parking Problem,"Illegal parking is one of the major causes of traffic congestion. Among many ways to mitigate illegal parking, a high level of direct traffic enforcement has been shown to have the strongest impact. Traffic enforcement must invest substantial human resources in patrolling and issuing parking tickets for illegally parked cards. The work load is overwhelming and efficiency is low since the illegal parking occurs almost everywhere in urban areas. This study tries to help traffic related officers ease their work load but minimize illegal parking by implementing social media networking. Social media in China has a significant number of users which covers nearly every urban area so that the service users can be public police officers to make traffic flow better in the city. The aim of this research is to develop the smartphone-based application and see its possible potential. The first part of this paper will describe the WeChat based application, which collects information on illegal parking cars from the public. It includes user interfaces, an automatic warning system, a parking navigation system, and data visualization. The second part demonstrates the process of the practical operation in Suzhou, China. Finally, the authors conclude the advantages and further development of this application. In addition, features of the illegal parking problem and parking planning problem in Suzhou are discussed.",2017
87,Analysis of Illegal Parking Behavior in Hanoi City,"This study is aimed to analyze illegal parking behaviors in Hanoi City, a typical motorcycle dominant city in Asia. Firstly, the study reviews various factors influencing parking and illegal parking behaviors in motorcycle dominant cities. Secondly, a field investigation is carried out to understand the existing status of parking supply and regulations in the city, particularly in the Old Quarter area. Thirdly, a questionnaire interview survey is conducted to capture the most important factors that contribute to the illegal parking behavior in the city. Totally 360 parking users are interviewed, including both legal and illegal parking users, and motorcycle and car users. Finally, the study suggests solutions to address the illegal parking in particular and improve parking system in general.",2017
88,New Design for Intelligent Parking System Using the Principles of Management Information System and Image Detection System,Management Information System (MIS) is the design and management of IT (Information Technology) for an organization. It focuses on the best way to enable the organization to meet its goals and business challenges. In this paper we review the techniques used in parking systems. In particular we describe how the principles of MIS is used o improve the system used in car park environment; thus proposing a new design for intelligent parking system to overcome the current parking problems. This paper focuses on the Malaysian parking system as the research case study. Image processing is involved in the texture analysis. It is important to quantitatively evaluate differences of system used using texture features. This paper also discusses how image detection system is used to improve the parking system.,2009
89,Design of Notification System Illegal Parking Vehicles on Campus,"The increase in the number of private cars as well as non-standard parked behavior has brought great pressure to campus traffic. In order to control this non-standard parked behavior, orderly and reasonable guide and regulate owners to develop good parking habits, we design a vehicle parking violation notification system. A system is designed in the article to record illegal parking information of vehicles. A working principle of this system is that a wireless MMS image terminal captures image information of illegal vehicles, and real-time transmits the captured image information to the Data Center Computer in Security Department of the school through the GPRS network, so as to achieve illegal vehicle information is timely recorded and notified. Meanwhile, outside campus of illegal vehicles will be warned or limited its re-enter the campus. After a year of work and testing, the entire system is stable, and the image information transmission failure rate is very low. Illegal parking behavior on campus has been significantly curbed, and traffic order has been significantly improved.",2014
90,Image processing system for traffic measurement,"The authors provide details of the system architecture and algorithm of an image processing system applied to traffic measurement. This traffic measurement system is based on an image processing technique for video pictures. This development has achieved good cost-performance systems due to falling costs for image processing hardware with powerful computation. The authors have developed some operational systems for practical use, such as a traffic flow measurement system, an automatic stopped vehicle detection system, an automatic license plate reader for measurement of travel time, and an illegal parking monitoring system. The customized hardware and algorithm which are suitable for each system are described.",1991
91,Available car parking space detection from webcam by using adaptive mixing features,"This paper presents a robust approach for detection of available car parking spaces. With low quality of video camera as webcam and dynamic change of light around the car parking, it is hard to accurately detect or recognize the cars. Moreover the proposed appearance-based approach is efficient than recognition-based approach because it do not need to learn a huge of multi-view objects. In this paper, we propose adaptive background model-based object detection with dynamic mixing features of masked-area and edge orientation histogram (EOH) density. The average variance of variance of intensity change for dynamic background model is used to change ratio of mixing features dynamically. The masked-area density is density of predefined area of a parking slot that is weighted by Gaussian mask to robust density computation and the edge orientation histogram (EOH) density is density of the EOH in the predefined area that can be used under low contrast image as night scene. The experiments are performed both in simulation model and real scenes. The results show the proposed approach can handle dynamic change of light efficiently.",2012
